Codigo,Departamento,Municipio,Esperanza de vida al nacer,Tasa de alfabetismo en adultos (% de 15+ años),Tasa de Escolaridad (% de 7+ años),Ingreso estimado per capita anual (US$ PPA),Indice de Salud,Indice de Educacion,Indice de Ingreso,IDH 2009,IDH 2002
603,Choluteca,Concepcion de Maria,70.9,71.53,37.93,"1,921.44",0.765,0.603,0.493,0.61,0.565
604,Choluteca,Duyure,71.07,75.3,37.56,"2,084.56",0.768,0.627,0.507,0.625,0.58
605,Choluteca,El Corpus,70.99,75,38.54,"2,012.38",0.767,0.628,0.501,0.623,0.574
606,Choluteca,El Triunfo,71.26,75.29,40.92,"2,226.19",0.771,0.638,0.518,0.634,0.582
607,Choluteca,Marcovia,71.54,78.42,43.93,"2,500.30",0.776,0.669,0.537,0.653,0.595
608,Choluteca,Morolica,70.54,66.48,35.71,"1,698.70",0.759,0.562,0.473,0.587,0.536
609,Choluteca,Namasigue,71.02,74.77,40.48,"2,020.86",0.767,0.633,0.502,0.625,0.576
610,Choluteca,Orocuina,71.04,73.04,40.47,"2,013.18",0.767,0.622,0.501,0.621,0.567
611,Choluteca,Pespire,71.14,77.61,46.77,"2,128.09",0.769,0.673,0.51,0.641,0.593
612,Choluteca,San Antonio de Flores,71.35,77.11,42.9,"2,375.45",0.773,0.657,0.529,0.645,0.591
613,Choluteca,San Isidro,71.17,74.92,38.55,"2,182.97",0.77,0.628,0.515,0.629,0.583
614,Choluteca,San Jose,70.59,69.73,35.83,"1,689.97",0.76,0.584,0.472,0.594,0.546
615,Choluteca,San Marcos de Colon,72.1,83.79,50.1,"3,125.27",0.785,0.726,0.575,0.689,0.636
616,Choluteca,Santa Ana de Yusguare,71.84,78.4,43.38,"2,852.97",0.781,0.667,0.559,0.663,0.607
701,El Paraiso,Yuscaran,71.38,83.68,51.19,"2,808.89",0.773,0.729,0.557,0.68,0.65
702,El Paraiso,Alauca,70.52,81.1,44.68,"1,905.37",0.759,0.69,0.492,0.636,0.612
703,El Paraiso,Danli,71.27,82.59,45.65,"2,599.89",0.771,0.703,0.544,0.666,0.637
704,El Paraiso,El Paraiso,71.6,84.36,49.65,"2,960.70",0.777,0.728,0.565,0.684,0.652
705,El Paraiso,Guinope,71.22,85.01,49.39,"2,582.84",0.77,0.731,0.543,0.674,0.648
706,El Paraiso,Jacaleapa,71.78,89.54,55.83,"3,175.89",0.78,0.783,0.577,0.706,0.678
