"","nombre","cod_muni","dep","mun","cod_mun_","codpais","shape_leng","shape_area","km2","densidad"
"159","Cane","1204",12,4,1204,"HN",40119.5895342,46792418.4786,46.7924,47.9565
"160","Chinacla","1205",12,5,1205,"HN",51758.9393944,63129303.3497,63.1293,92.2393
"161","Guajiquiro","1206",12,6,1206,"HN",91950.0693948,347319370.992,347.319,34.4611
"162","Lauterique","1207",12,7,1207,"HN",26642.2094908,36666253.5903,36.6663,76.8554
"163","Marcala","1208",12,8,1208,"HN",107996.27746,218313990.145,218.314,93.5991
"164","Mercedes de Oriente","1209",12,9,1209,"HN",35125.9751894,39521765.5648,39.5218,26.4917
"165","Opatoro","1210",12,10,1210,"HN",100167.005524,241326633.509,241.327,30.6307
"166","San Antonio del Norte","1211",12,11,1211,"HN",46224.8250224,75236970.6237,75.237,37.8139
"167","San Jose","1212",12,12,1212,"HN",41820.7596024,65828057.2933,65.8281,110.014
"168","San Juan","1213",12,13,1213,"HN",33768.1400727,51509236.203,51.5092,38.6339
"169","San Pedro de Tutule","1214",12,14,1214,"HN",32408.0788783,47503799.5018,47.5038,108.981
"170","Santa Ana","1215",12,15,1215,"HN",118127.232606,208374175.47,208.374,44.6744
"171","Santa Elena","1216",12,16,1216,"HN",63831.3785124,184023616.16,184.024,37.1094
"172","Santa Maria","1217",12,17,1217,"HN",63796.5618431,104267178.86,104.267,76.7739
"173","Santiago de Puringla","1218",12,18,1218,"HN",66407.5676465,140650576.861,140.651,92.8827
"174","Yarula","1219",12,19,1219,"HN",69148.2685257,86971554.6535,86.9716,64.8258
"175","Gracias","1301",13,1,1301,"HN",141248.801603,449051581.782,449.052,69.9741
"176","Belen","1302",13,2,1302,"HN",77025.3992232,198752189.179,198.752,21.8564
"177","Candelaria","1303",13,3,1303,"HN",32347.7937992,53198276.2458,53.1983,112.635
"178","Cololaca","1304",13,4,1304,"HN",90860.6363407,225355684.541,225.356,23.9666
"179","Erandique","1305",13,5,1305,"HN",96189.0551258,296658720.888,296.659,38.5156
"180","Gualcince","1306",13,6,1306,"HN",67832.8367725,162779522.779,162.78,57.1816
"181","Guarita","1307",13,7,1307,"HN",118661.172968,180341737.385,180.342,43.0793
"182","La Campa","1308",13,8,1308,"HN",53967.0997351,108302933.337,108.303,38.2169
"183","La Iguala","1309",13,9,1309,"HN",116322.082328,348956012.939,348.956,50.4877
"184","Las Flores","1310",13,10,1310,"HN",63859.7079495,80826612.8527,80.8266,90.7498
"185","La Union","1311",13,11,1311,"HN",40935.6533403,85311015.5261,85.311,112.119
"186","La Virtud","1312",13,12,1312,"HN",49180.3902217,88965097.6789,88.9651,67.1949
"187","Lepaera","1313",13,13,1313,"HN",77873.1164369,310215873.854,310.216,91.7039
"188","Mapulaca","1314",13,14,1314,"HN",29249.3520419,32489241.699,32.4892,116.1
"189","Piraera","1315",13,15,1315,"HN",69718.7235681,178388026.4,178.388,62.4762
"190","San Andres","1316",13,16,1316,"HN",79736.8662847,246829735.583,246.83,41.4213
"191","San Francisco","1317",13,17,1317,"HN",60197.44781,137565080.962,137.565,57.391
"192","San Juan Guarita","1318",13,18,1318,"HN",42594.1455538,42964951.5735,42.965,64.4944
"193","San Manuel Colohete","1319",13,19,1319,"HN",78395.4527184,182940163.047,182.94,58.2431
"194","San Rafael","1320",13,20,1320,"HN",52231.9247678,101445357.816,101.445,100.764
"195","San Sebastian","1321",13,21,1321,"HN",71932.7626011,221952749.915,221.953,35.3003
"196","Santa Cruz","1322",13,22,1322,"HN",69065.9682822,151347099.44,151.347,31.8143
"197","Talgua","1323",13,23,1323,"HN",46269.8483201,82871265.4815,82.8713,98.9486
"198","Tambla","1324",13,24,1324,"HN",54865.8150499,58568737.1446,58.5687,38.5359
"199","Tomala","1325",13,25,1325,"HN",40749.5953478,47659517.6389,47.6595,108.604
"200","Valladolid","1326",13,26,1326,"HN",41036.5813692,78310275.5942,78.3103,45.3708
"201","Virginia","1327",13,27,1327,"HN",29517.3507541,37076875.4485,37.0769,71.9047
"202","San Marcos de Caiquin","1328",13,28,1328,"HN",52870.4875508,96580421.0111,96.5804,41.8304
"203","Ocotepeque","1401",14,1,1401,"HN",73542.3982895,174819709.966,174.82,90.8593
"204","Belen Gualcho","1402",14,2,1402,"HN",57261.5870793,156386500.339,156.387,72.5446
"205","Concepcion","1403",14,3,1403,"HN",74919.6721158,116408709.122,116.409,32.5835
"206","Dolores Merendon","1404",14,4,1404,"HN",37899.1278789,41185057.1151,41.1851,55.1656
"207","Fraternidad","1405",14,5,1405,"HN",50274.1805237,92520047.5046,92.5201,24.2002
"208","La Encarnacion","1406",14,6,1406,"HN",34394.882842,36679230.8532,36.6792,104.719
"209","La Labor","1407",14,7,1407,"HN",48702.2261462,103029511.198,103.03,62.3122
"210","Lucerna","1408",14,8,1408,"HN",85599.8664327,118679576.687,118.68,30.14
"211","Mercedes","1409",14,9,1409,"HN",71087.4705652,94779903.2647,94.7799,63.3046
"212","San Fernando","1410",14,10,1410,"HN",37960.0947804,52968928.2765,52.9689,94.1684
"213","San Francisco del Valle","1411",14,11,1411,"HN",59125.8859068,106740432.055,106.74,57.2885
"214","San Jorge","1412",14,12,1412,"HN",65043.1287547,59030795.6426,59.0308,66.3213
"215","San Marcos","1413",14,13,1413,"HN",89161.7427433,169223292.996,169.223,82.9023
"216","Santa Fe","1414",14,14,1414,"HN",64797.6416151,68829049.5444,68.829,53.4513
"217","Sensenti","1415",14,15,1415,"HN",68103.8860572,119141741.747,119.142,69.3208
"218","Sinuapa","1416",14,16,1416,"HN",59293.268163,125717661.466,125.718,46.2942
"219","Juticalpa","1501",15,1,1501,"HN",323533.450055,2604535850.75,2604.54,32.4975
"220","Campamento","1502",15,2,1502,"HN",92472.2415502,379584928.154,379.585,38.9215
"221","Catacamas","1503",15,3,1503,"HN",518867.191482,7263779209.23,7263.78,10.9012
"222","Concordia","1504",15,4,1504,"HN",80526.1848987,244564696.412,244.565,25.6251
"223","Dulce Nombre de Culmi","1505",15,5,1505,"HN",296530.037836,3056878868.79,3056.88,7.39283
"224","El Rosario","1506",15,6,1506,"HN",54409.5374334,137829441.071,137.829,27.3164
"225","Esquipulas del Norte","1507",15,7,1507,"HN",104928.065948,480662345.869,480.662,13.367
"226","Gualaco","1508",15,8,1508,"HN",294598.819153,2225375992.72,2225.38,7.76094
"227","Guarizama","1509",15,9,1509,"HN",65660.2863606,160637579.501,160.638,41.4473
"228","Guata","1510",15,10,1510,"HN",118252.07924,671100220.299,671.1,14.0754
"229","Guayape","1511",15,11,1511,"HN",100658.994418,413551075.78,413.551,27.4404
"230","Jano","1512",15,12,1512,"HN",109843.143356,345598385.614,345.598,8.77319
"231","La Union","1513",15,13,1513,"HN",125241.556363,618422039.495,618.422,10.2293
"232","Mangulile","1514",15,14,1514,"HN",114273.595005,371712933.768,371.713,20.4943
"233","Manto","1515",15,15,1515,"HN",125098.621461,518062883.093,518.063,19.6675
"234","Salama","1516",15,16,1516,"HN",106935.429714,333638285.12,333.638,18.9007
"235","San Esteban","1517",15,17,1517,"HN",215928.087751,1901900578.88,1901.9,10.5211
"236","San Francisco de Becerra","1518",15,18,1518,"HN",91684.5694112,291608504.851,291.608,23.5281
"237","San Francisco de La Paz","1519",15,19,1519,"HN",99297.8194711,519676187.474,519.676,29.8647
"238","Santa Maria del Real","1520",15,20,1520,"HN",98873.6148813,241081051.919,241.081,37.0456
"239","Silca","1521",15,21,1521,"HN",78469.5130799,253088072.579,253.088,27.1921
"240","Yocon","1522",15,22,1522,"HN",75975.8663474,246483568.089,246.484,37.1343
"241","Patuca","1523",15,23,1523,"HN",154074.091387,758431687.192,758.432,28.5787
"242","Santa Barbara","1601",16,1,1601,"HN",100038.077558,301001188.25,301.001,97.2488
"243","Arada","1602",16,2,1602,"HN",57787.7180628,102949687.877,102.95,77.2513
"244","Atima","1603",16,3,1603,"HN",79255.7347939,195596145.002,195.596,61.2282
"245","Quimistan","1617",16,17,1617,"HN",133381.709703,740911581.798,740.912,40.1681
"246","San Francisco de Ojuera","1618",16,18,1618,"HN",68444.3634278,178980152.207,178.98,29.9698
"247","San Jose de Colinas","1619",16,19,1619,"HN",85695.5553987,241449566.895,241.45,65.7322
"248","San Luis","1620",16,20,1620,"HN",101178.489096,396087615.584,396.088,58.6461
"249","San Marcos","1621",16,21,1621,"HN",73170.2937549,219879797.699,219.88,56.1534
"250","San Nicolas","1622",16,22,1622,"HN",74102.9767671,101600142.674,101.6,105.709
"251","San Pedro Zacapa","1623",16,23,1623,"HN",71869.6836392,199652763.403,199.653,41.9378
"252","San Vicente Centenario","1624",16,24,1624,"HN",29632.1701972,37537708.4164,37.5377,68.3846
"253","Santa Rita","1625",16,25,1625,"HN",39442.5282913,81973191.3023,81.9732,38.3906
"254","Trinidad","1626",16,26,1626,"HN",87895.6068714,205141606.8,205.142,77.4928
"255","Las Vegas","1627",16,27,1627,"HN",58200.0964912,123008823.879,123.009,142.234
"256","Nacaome","1701",17,1,1701,"HN",208330.699353,589209624.91,589.21,79.3945
"257","Alianza","1702",17,2,1702,"HN",172399.846477,205693998.582,205.694,33.6568
"258","Amapala","1703",17,3,1703,"HN",120220.641896,85935448.8121,85.9354,112.724
"259","Aramecina","1704",17,4,1704,"HN",48649.2585755,100443102.111,100.443,60.0838
"260","Caridad","1705",17,5,1705,"HN",32774.2109545,51957126.0816,51.9571,68.1716
"261","Goascoran","1706",17,6,1706,"HN",77580.4063828,191137462.902,191.137,69.3846
"262","Langue","1707",17,7,1707,"HN",55283.5729683,136099170.105,136.099,135.526
"263","San Francisco de Coray","1708",17,8,1708,"HN",46548.3450664,89104144.9741,89.1041,95.9664
"264","San Lorenzo","1709",17,9,1709,"HN",287587.230755,168670890.108,168.671,169.478
"265","Yoro","1801",18,1,1801,"HN",285737.42224,2264295611.58,2264.3,28.4526
"266","Arenal","1802",18,2,1802,"HN",83482.3596902,178815847.569,178.816,26.8768
"267","El Negrito","1803",18,3,1803,"HN",169030.578199,564723976.667,564.724,63.13
"268","El Progreso","1804",18,4,1804,"HN",208310.637257,534120263.855,534.12,275.91
"269","Jocon","1805",18,5,1805,"HN",96840.2379571,354507546.857,354.508,21.0122
"270","Morazan","1806",18,6,1806,"HN",128826.113945,509313149.432,509.313,63.9921
"271","Olanchito","1807",18,7,1807,"HN",323993.995363,2018613734.89,2018.61,39.0248
"272","Santa Rita","1808",18,8,1808,"HN",62264.8537005,128908978.067,128.909,133.156
"273","Sulaco","1809",18,9,1809,"HN",84168.1699589,234464031.743,234.464,56.691
"274","Yorito","1811",18,11,1811,"HN",78331.488144,207988845.785,207.989,63.0899
"275","El Porvenir","0102",1,2,102,"HN",99445.1229839,277317107.857,277.317,52.0595
"276","Puerto Lempira","0901",9,1,901,"HN",1160001.82524,7125644189.63,7125.64,3.27437
"277","Brus Laguna","0902",9,2,902,"HN",534933.326821,4424087616.88,4424.09,2.14055
"278","Ahuas","0903",9,3,903,"HN",247468.390654,1313250955.06,1313.25,4.59851
"279","Juan Francisco  Bulnes","0904",9,4,904,"HN",177814.94727,631521748.215,631.522,8.45577
"280","Ramón Villeda Morales","0905",9,5,905,"HN",176443.547252,621874619.292,621.875,13.8308
"281","Wampusirpi","0906",9,6,906,"HN",277514.834672,1781214969.95,1781.21,2.18783
"282","Nueva Frontera","1628",16,28,1628,"HN",51457.6133511,151620239.095,151.62,79.5342
"283","Victoria","1810",18,10,1810,"HN",183194.32154,791294641.237,791.295,32.3318
"284","Santa Cruz de Yojoa","0510",5,10,510,"HN",199021.562563,735703186.554,735.703,83.5405
"285","Azacualpa","1604",16,4,1604,"HN",64424.3098446,199347372.978,199.347,81.0244
"286","Ceguaca","1605",16,5,1605,"HN",35472.0587293,51660430.3705,51.6604,74.1961
"287","Concepcion del Norte","1606",16,6,1606,"HN",54105.5252911,135006866.78,135.007,57.3304
"288","Concepcion del Sur","1607",16,7,1607,"HN",42459.6681703,64737455.3537,64.7375,82.5179
"289","Chinda","1608",16,8,1608,"HN",60334.2533004,65110875.1168,65.1109,60.9576
"290","El Nispero","1609",16,9,1609,"HN",43449.592289,78143554.9075,78.1436,82.1821
"291","Gualala","1610",16,10,1610,"HN",36648.439683,66325643.4858,66.3256,67.9827
"292","Ilama","1611",16,11,1611,"HN",63607.5054018,174666071.033,174.666,46.8837
"293","Macuelizo","1612",16,12,1612,"HN",102976.841558,402927399.347,402.927,63.5698
"294","Naranjito","1613",16,13,1613,"HN",55589.9663768,139844910.608,139.845,72.9665
"295","Nuevo Celilac","1614",16,14,1614,"HN",70663.2623359,152117412.086,152.117,42.5658
"296","Petoa","1615",16,15,1615,"HN",83242.9838527,203511398.956,203.511,46.7836
"297","Proteccion","1616",16,16,1616,"HN",57758.2098708,154182659.711,154.183,86.3975
