Departamento,Municipio,PN,PINU-SD,DC,PL,UD,Total Marcas
FRANCISCO MORAZAN,SAN ANTONIO DE ORIENTE,22585,2770,1868,16455,2153,45831
FRANCISCO MORAZAN,SAN BUENAVENTURA,11134,586,261,4854,594,17429
FRANCISCO MORAZAN,SAN IGNACIO,35142,1051,1530,27669,2129,67521
FRANCISCO MORAZAN,SAN JUAN DE FLORES,28960,1846,1236,26557,3627,62226
FRANCISCO MORAZAN,SAN MIGUELITO,10831,423,353,4438,296,16341
FRANCISCO MORAZAN,SANTA ANA,23395,2689,2155,18209,3954,50402
FRANCISCO MORAZAN,SANTA LUCIA,34021,6133,2775,10531,2081,55541
FRANCISCO MORAZAN,TALANGA,92111,3444,3713,61929,3767,164964
FRANCISCO MORAZAN,TATUMBLA,16244,1466,1047,12376,1755,32888
FRANCISCO MORAZAN,VALLE DE ANGELES,29074,5693,8715,18266,2973,64721
FRANCISCO MORAZAN,VILLA SAN FRANCISCO,27495,1556,1476,18899,3114,52540
FRANCISCO MORAZAN,VALLECILLOS,15385,965,2064,13963,1009,33386
GRACIAS A DIOS,PUERTO LEMPIRA,3672,0,11,2653,56,6392
GRACIAS A DIOS,BRUS LAGUNA,1324,0,3,777,23,2127
GRACIAS A DIOS,AHUAS,1052,0,3,535,7,1597
GRACIAS A DIOS,JUAN FRANCISCO BULNES,630,0,9,314,9,962
GRACIAS A DIOS,VILLEDA MORALES,786,0,5,833,17,1641
GRACIAS A DIOS,WAMPUSIRPI,558,0,5,525,4,1092
INTIBUCA,LA ESPERANZA,5357,221,138,3172,125,9013
INTIBUCA,CAMASCA,2509,136,53,1385,71,4154
INTIBUCA,COLOMONCAGUA,5874,213,43,586,89,6805
INTIBUCA,CONCEPCION,2933,111,15,1606,46,4711
INTIBUCA,DOLORES,2014,140,6,1584,61,3805
INTIBUCA,INTIBUCA,17688,653,234,6289,319,25183
INTIBUCA,JESUS DE OTORO,6788,298,91,2895,165,10237
INTIBUCA,MAGDALENA,1830,110,20,449,21,2430
INTIBUCA,MASAGUARA,4133,258,32,2837,116,7376
INTIBUCA,SAN ANTONIO,2016,148,13,1206,42,3425
INTIBUCA,SAN ISIDRO,1316,27,0,624,23,1990
INTIBUCA,SAN JUAN,4286,225,128,3096,123,7858
INTIBUCA,SAN MARCOS SIERRA,3460,248,84,442,16,4250
INTIBUCA,SAN MIGUELITO,2264,157,19,1753,63,4256
INTIBUCA,SANTA LUCIA,1648,79,21,708,46,2502
INTIBUCA,YAMARANGUILA,5682,247,33,2250,122,8334
INTIBUCA,SAN FRANCISCO DE OPALACA,2062,181,30,917,119,3309
ISLAS DE LA BAHIA,ROATAN,2892,77,86,1437,1177,5669
ISLAS DE LA BAHIA,GUANAJA,900,4,3,302,31,1240
ISLAS DE LA BAHIA,JOSE SANTOS GUARDIOLA,1154,23,16,769,178,2140
ISLAS DE LA BAHIA,UTILA,369,5,6,492,7,879
LA PAZ,LA PAZ,9149,472,1860,7358,1722,20561
LA PAZ,AGUANQUETERIQUE,2010,69,37,1146,187,3449
LA PAZ,CABAÑAS,970,102,23,259,62,1416
LA PAZ,CANE,759,40,58,2116,151,3124
LA PAZ,CHINACLA,2251,114,19,1382,88,3854
LA PAZ,GUAJIQUIRO,4848,305,22,2359,97,7631
LA PAZ,LAUTERIQUE,902,57,17,2176,77,3229
LA PAZ,MARCALA,9160,609,82,3953,555,14359
LA PAZ,MERCEDES DE ORIENTE,255,11,32,349,42,689
LA PAZ,OPATORO,2279,121,23,2154,97,4674
LA PAZ,SAN ANTONIO DEL NORTE,1309,35,10,335,33,1722
LA PAZ,SAN JOSE,2699,170,75,947,53,3944
LA PAZ,SAN JUAN,812,39,76,633,63,1623
LA PAZ,SAN PEDRO DE TUTULE,2756,151,124,1267,159,4457
LA PAZ,SANTA ANA,3090,301,42,1441,113,4987
LA PAZ,SANTA ELENA,1940,171,22,993,163,3289
LA PAZ,SANTA MARIA,3821,241,95,2632,117,6906
LA PAZ,SANTIAGO DE PURINGLA,5605,231,231,3358,108,9533
LA PAZ,YARULA,3316,207,14,1347,53,4937
LEMPIRA,GRACIAS,34772,1704,774,16132,1850,55232
LEMPIRA,BELEN,4781,189,41,3776,543,9330
LEMPIRA,CANDELARIA,4408,153,123,4391,344,9419
LEMPIRA,COLOLACA,5161,286,39,709,520,6715
LEMPIRA,ERANDIQUE,11466,370,57,9805,587,22285
LEMPIRA,GUALCINCE,5658,258,291,1807,401,8415
LEMPIRA,GUARITA,6406,408,27,1105,201,8147
LEMPIRA,LA CAMPA,4931,172,108,2370,579,8160
LEMPIRA,LA IGUALA,17015,719,106,6773,1446,26059
LEMPIRA,LAS FLORES,9106,279,67,3231,353,13036
LEMPIRA,LA UNION,8923,393,126,7429,608,17479
LEMPIRA,LA VIRTUD,5288,182,37,3939,383,9829
LEMPIRA,LEPAERA,22422,1069,924,7229,1099,32743
LEMPIRA,MAPULACA,3285,198,27,2104,146,5760
LEMPIRA,PIRAERA,7121,300,49,5052,818,13340
LEMPIRA,SAN ANDRES,9509,341,39,4882,512,15283
LEMPIRA,SAN FRANCISCO,4937,80,40,2891,382,8330
LEMPIRA,SAN JUAN GUARITA,2151,215,33,865,153,3417
LEMPIRA,SAN MANUEL COLOHETE,8317,315,27,6488,825,15972
LEMPIRA,SAN RAFAEL,8738,323,159,4014,377,13611
LEMPIRA,SAN SEBASTIAN,8163,384,93,2795,704,12139
LEMPIRA,SANTA CRUZ,5228,221,66,2415,492,8422
LEMPIRA,TALGUA,5396,182,70,1737,283,7668
LEMPIRA,TAMBLA,1159,319,37,495,134,2144
LEMPIRA,TOMALA,3026,183,32,3727,186,7154
LEMPIRA,VALLADOLID,2878,175,37,1885,292,5267
LEMPIRA,VIRGINIA,1340,51,41,1615,220,3267
LEMPIRA,SAN MARCOS DE CAIQUIN,2815,160,91,2293,416,5775
OCOTEPEQUE,OCOTEPEQUE,4535,167,119,3756,0,8577
OCOTEPEQUE,BELEN GUALCHO,3814,165,14,2512,0,6505
OCOTEPEQUE,CONCEPCION,939,56,48,874,0,1917
OCOTEPEQUE,DOLORES MERENDON,743,69,17,748,0,1577
OCOTEPEQUE,FRATERNIDAD,571,62,14,360,0,1007
OCOTEPEQUE,LA ENCARNACION,1692,91,17,1110,0,2910
OCOTEPEQUE,LA LABOR,1322,88,37,1396,0,2843
OCOTEPEQUE,LUCERNA,1112,73,12,831,0,2028
