Departamento,Municipio,Padron Electoral,"Partido Innovacion y Unidad SD","Partido Nacional de Honduras","Partido Liberal de Honduras","Partido Unificacion Democratica","Partido Democrata Cristiano","Votos Validos","Votos Nulos","VotosBlancos","Votos Escrutados","Papeletas Sobrantes"
Copan,SAN JUAN DE OPOA,4.494,24,1.417,1.286,17,28,2.772,283,111,3.166,1.328
Copan,SAN NICOLAS,3.974,15,1.089,1.567,9,17,2.697,230,64,2.991,983
Copan,SAN PEDRO,3.965,9,1.192,1.37,14,13,2.598,150,75,2.823,1.142
Copan,SANTA RITA,12.027,45,2.545,2.937,106,35,5.668,485,301,6.454,5.573
Copan,TRINIDAD,3.848,12,1.043,1.005,13,33,2.106,235,59,2.4,1.448
Copan,VERACRUZ,1.807,4,466,475,15,12,972,106,72,1.15,657
Cortes,SAN PEDRO SULA,353.072,2.545,59.086,68.533,3.182,3.089,136.435,5.566,2.604,144.605,208.467
Cortes,CHOLOMA,89.539,689,12.455,15.968,547,544,30.203,1.667,928,32.798,56.741
Cortes,OMOA,23.217,87,4.474,4.804,65,267,9.697,792,387,10.876,12.341
Cortes,PIMIENTA,8.354,43,2.527,1.978,56,52,4.656,194,121,4.971,3.383
Cortes,POTRERILLOS,14.312,35,2.507,2.232,53,57,4.884,263,114,5.261,9.051
Cortes,PUERTO CORTES,65.107,382,11.731,15.825,460,319,28.717,1.455,633,30.805,34.302
Cortes,SAN ANTONIO DE CORTES,11.593,45,2.727,2.644,71,48,5.535,424,225,6.184,5.409
Cortes,SAN FRANCISCO DE YOJOA,10.754,70,2.112,2.696,79,71,5.028,341,154,5.523,5.231
Cortes,SAN MANUEL,16.96,165,2.151,3.872,195,138,6.521,341,170,7.032,9.928
Cortes,SANTA CRUZ DE YOJOA,36.839,163,6.85,8.921,182,197,16.313,1.433,536,18.282,18.557
Cortes,VILLANUEVA,52.6,355,10.701,11.438,355,539,23.388,1.167,699,25.254,27.346
Cortes,LA LIMA,49.899,571,6.205,9.696,579,565,17.616,701,227,18.544,31.355
Choluteca,CHOLUTECA,76.41,238,20.231,20.478,353,581,41.881,2.95,939,45.77,30.64
Choluteca,APACILAGUA,5.612,20,1.712,1.654,13,54,3.453,245,84,3.782,1.83
Choluteca,CONCEPCION DE MARIA,13.549,78,5.27,2.363,31,108,7.85,581,262,8.693,4.856
