Departamento,Municipio,PINU,PN,PL,UD,DC
Santa Barbara,San Marcos,11,1244,1852,76,28
Ocotepeque,San Marcos,31,2176,3222,47,29
Lempira,San Marcos de Caiquin,8,580,767,4,6
Choluteca,San Marcos de Colon,30,4468,4160,35,82
Intibuca,San Marcos de Sierra,27,1249,1021,41,44
El Paraiso,San Matias,14,644,970,22,16
Intibuca,San Miguelito,21,809,1195,19,10
Francisco Morazan,San Miguelito,22,472,514,5,13
Santa Barbara,San Nicolas,21,1905,3285,56,32
Copan,San Nicolas,15,1089,1567,9,17
Copan,San Pedro,9,1192,1370,14,13
La Paz,San Pedro de Tutule,21,1229,1356,21,16
Cortes,San Pedro Sula,2545,59086,68533,3182,3089
Santa Barbara,San Pedro Zacapa,16,2206,2370,15,17
Lempira,San Rafael,27,1952,1485,10,43
Lempira,San Sebastian,10,1741,1204,12,27
Comayagua,San Sebastian,8,435,508,4,12
Santa Barbara,San Vicente Centenario,6,697,794,7,3
La Paz,Santa Ana,22,1165,1336,32,57
Francisco Morazan,Santa Ana,60,1499,1883,54,52
Choluteca,Santa Ana de Yusguare,20,2270,2189,13,32
Santa Barbara,Santa Barbara,63,6687,8105,117,162
Lempira,Santa Cruz,33,778,846,6,44
Cortes,Santa Cruz de Yojoa,163,6850,8921,182,197
La Paz,Santa Elena,86,973,1028,60,62
Ocotepeque,Santa Fe,22,970,702,7,19
Colon,Santa Fe,14,421,670,41,18
Intibuca,Santa Lucia,20,855,510,14,12
Francisco Morazan,Santa Lucia,54,1763,1475,68,124
La Paz,Santa Maria,29,1359,1667,40,44
Olancho,Santa Maria del Real,14,1421,1800,18,50
Santa Barbara,Santa Rita,15,896,411,13,14
Yoro,Santa Rita,137,2655,3579,64,69
Copan,Santa Rita,45,2545,2937,106,35
Colon,Santa Rosa de Aguan,12,608,735,6,3
Copan,Santa Rosa de Copan,109,6144,7216,162,137
La Paz,Santiago de Puringla,46,2234,2567,24,33
Ocotepeque,Sensenti,21,1244,1575,11,135
Comayagua,Siguatepeque,234,7796,9706,216,245
Olancho,Silca,11,1263,1728,12,23
Ocotepeque,Sinuapa,22,611,1338,23,10
El Paraiso,Soledad,15,1,2208,14,30
Colon,Sonaguera,27,3914,5539,179,57
Yoro,Sulaco,35,2424,2527,50,16
Francisco Morazan,Talanga,66,4785,4482,70,73
Lempira,Talgua,14,1365,927,17,31
Lempira,Tambla,40,304,358,22,25
Francisco Morazan,Tatumbla,23,814,923,26,22
Comayagua,Taulabe,33,2426,3294,104,45
Atlantida,Tela,212,9233,9490,262,269
El Paraiso,Teupasenti,44,4622,5313,54,65
El Paraiso,Texiguat,7,1102,2048,15,36
Colon,Tocoa,79,6279,9057,551,72
Lempira,Tomala,9,818,1020,4,18
Santa Barbara,Trinidad,29,2778,4223,49,21
Copan,Trinidad de Copan,12,1043,1005,13,33
El Paraiso,Trojes,39,5145,6154,48,41
Colon,Trujillo,45,4923,7282,267,99
Islas de la Bahia,Utila,2,623,506,5,4
El Paraiso,Vado Ancho,6,687,911,8,10
Lempira,Valladolid,8,618,742,4,9
Francisco Morazan,Valle de Angeles,55,2406,2018,50,149
Francisco Morazan,Vallecillo,20,965,1003,55,72
Copan,Veracruz,4,466,475,15,12
Yoro,Victoria,43,2278,2613,132,30
Comayagua,Villa de San Antonio,24,2017,2247,64,44
Francisco Morazan,Villa de San Francisco,23,1869,1916,39,29
Cortes,Villanueva,355,10701,11438,355,539
Lempira,Virginia,7,340,454,0,18
Gracias a Dios,Wampusirpi,12,335,780,37,9
Intibuca,Yamaranguila,46,2829,1658,167,118
La Paz,Yarula,9,867,925,35,47
El Paraiso,Yauyupe,8,251,416,4,17
Olancho,Yocon,19,1676,1540,10,6
Yoro,Yorito,46,1774,2164,84,39
Yoro,Yoro,144,7806,7908,304,104
El Paraiso,Yuscaran,14,2795,2575,34,48
