CODIGO,NUM.HOGARES,COC.PIEZA,COC.LENA,COC.CHIMBO,COC.ELEC,SAN.ALC,SAN.FOSA,SAN.LETR,AUTO.UNO,AUTO.UNOPLUS,AUTO.NO,ELDOM.REFRI,ELDOM.LAVAD,ELDOM.SONI,ELDOM.AC,ELDOM.COMPU,ELDOM.MICRO,SERV.CABLE,SERV.INTERNET,ALUMB.SPUB,ALUMB.SPRI,ALUMB.GEN,ALUMB.CANDIL,ALUMB.VELA,ALUMB.OCOT,ALUMB.SOLAR,AGUA.TUBE.DENTRO,AGUA.TUBE.DENTRO2,AGUA.FUERA,AGUA.NONTUBE,AS.SPUB,AS.SPRI,AS.POMA,AS.POBO,AS.CDA,AS.LAG,AS.VEN,AS.OTRO,NBI0,NBI1,NBI2,NBI3,NBI4,NBI.NNM,NBI.SSAG,NBI.SSAN,NBI.SSUB,NBI.HACI,NBI.VME
1801,17853.6,16094.1,15551.18,1300.73,585,2205.93,5654.46,6301.63,1587.29,233.59,16014.93,5974.51,901.33,10950.19,439.05,1499.74,2346.79,5042.51,517.43,8420,277,92,1784,3010,3738,225,5853,7651,549,3494,5981,8016,892,142,1820,58,38,601,6327,4123,2870,2536,1691,1292,2607,5974,6409,1829,736
1802,1275.06,1004.68,1037.77,107.64,85.56,346.49,191.04,582.39,70.84,7.7,1196.53,751.3,99.65,730.64,67.25,111.54,315.55,692.37,48.46,1025,13,0,58,108,53,1,508,535,79,136,913,129,63,82,40,2,0,28,500,371,167,130,89,45,74,327,514,96,90
1803,9980.28,7839.01,7525.73,1525.84,549.84,500.63,6678,1914.98,1105.5,161.97,8704.22,5601.31,1056.9,5697.39,573.02,834.78,1901.66,3306.14,270.55,7254,203,27,1190,774,102,234,5206,3244,415,919,3152,5495,287,248,423,9,10,158,4171,2648,1436,992,536,532,806,2322,3454,1132,256
1804,44016.96,35321.6,13733.9,24137.21,3508.59,23709.96,17266.23,2157.45,7069.84,915.16,35996.49,35083.82,10793.16,28167.35,7293.21,8700.8,15489.71,20378.29,4468.38,39550,1625,22,884,1131,41,46,32019,9108,571,1602,21192,19646,666,1060,357,23,30,324,24500,13707,3192,1109,790,1364,1878,2178,13311,4218,1821
1805,1885.73,1626.31,1801.73,21.89,29.99,19.45,576.43,859.06,90.24,8.14,1785.28,399.2,49.62,828.52,18.66,90.34,133.59,328.19,20.89,835,1,1,112,218,692,5,817,564,108,376,1372,109,215,8,59,6,0,96,554,406,378,321,205,91,167,782,702,362,110
1806,8741.14,7381.54,7257.02,874.7,320.53,743.33,4303.07,2854.01,928.22,120.91,7666.5,4491.36,788.02,5005.93,467.08,1236.07,1790.12,3856.88,567.67,6210,83,21,1105,530,294,242,4200,3415,204,666,4773,2979,175,70,298,19,3,167,2935,1990,1701,1247,610,455,687,3031,3202,851,513
1807,23550.86,19557.67,14277.12,5577.58,2617.97,6313.39,9104.63,6530.15,3252.9,566.26,19679.93,15762.43,3445.91,14931.65,2259.28,4984.91,7384.55,13729.57,1340.17,19003,603,33,1522,1372,472,171,11880,9272,281,1743,11801,9470,612,274,604,17,22,378,10777,6220,2765,2075,1340,981,1306,4893,8062,2226,1479
1808,4570.81,3390.7,2489.32,1612.86,166.97,359.28,2894.12,1091.59,710.82,112.65,3681.12,3079.05,487.61,2980.18,436.28,657.94,1178.19,1983.87,268.98,3934,28,13,250,132,18,47,2488,1541,203,191,2938,1245,58,61,56,3,1,61,2040,1170,607,383,222,149,313,957,1443,494,219
1809,3678.14,3346.89,3396.25,56.13,169.46,22.32,1439.37,1448.57,171.7,27.74,3472.54,1180.1,101.44,2553.12,63.88,226.33,443.05,1182.71,73.81,2430,5,1,488,226,467,9,1266,1791,135,435,2810,377,155,23,96,2,1,162,1175,858,647,646,301,111,301,1421,1511,290,299
1810,6817.6,6081.58,6391.65,82.63,216.08,636.26,2379.02,2431.39,434.22,82.03,6291.91,1287.61,137.36,4274.07,78.55,267.59,434.85,957.26,65.97,2438,56,43,2422,694,622,402,2384,2541,195,1556,3787,1248,667,136,583,12,2,242,2265,1283,1483,1096,550,498,842,2754,2205,627,189
1811,3970.36,3639.14,3658.58,97.92,138.34,19.93,962.16,1892.56,276.99,33.68,3659.69,958.02,115.2,2680.85,46.81,232.37,410.24,781.09,69.68,1570,21,18,486,740,990,83,1012,2131,241,524,2682,693,267,17,157,5,1,87,897,530,1207,898,377,215,276,2374,1502,366,131
