Departamento,Municipio,PL,PN,Alianza,DC,UD,PAC,APH,FA,VAMOS
Francisco Morazán,Santa Lucía,1433,2873,1477,14,7,17,18,26,4
Francisco Morazán,Talanga,2387,6477,5844,28,19,60,21,17,10
Francisco Morazán,Tatumbla,988,2427,768,3,2,10,4,3,4
Francisco Morazán,Valle de Ángeles,1559,4885,2349,15,16,12,23,7,9
Francisco Morazán,Vallecillo,1079,1707,974,20,11,6,9,4,4
Francisco Morazán,Villa de San Francisco,1369,2140,2331,16,6,11,11,4,3
Gracias a Dios,Ahuas,188,1713,534,6,7,5,12,8,11
Gracias a Dios,Brus Laguna,823,1625,793,10,11,21,10,7,35
Gracias a Dios,Juan Francisco Bulnes,106,807,778,3,2,3,5,4,3
Gracias a Dios,Puerto Lempira,1345,4575,4152,33,32,147,53,42,172
Gracias a Dios,Ramón Villeda Morales,336,1274,1704,3,9,8,17,6,8
Gracias a Dios,Wampusirpi,676,1050,412,2,5,8,5,7,8
Intibucá,Camasca,137,2042,1520,11,8,2,3,1,0
Intibucá,Colomoncagua,250,3368,3460,7,16,3,13,10,8
Intibucá,Concepción,310,2526,1783,8,8,6,7,7,5
Intibucá,Dolores,792,1448,314,5,1,8,5,6,3
Intibucá,Intibucá,5032,11280,4614,25,22,31,109,14,60
Intibucá,Jesús de Otoro,1425,6484,3977,14,21,4,19,9,6
Intibucá,La Esperanza,1260,3218,1932,11,6,5,15,3,2
Intibucá,Magdalena,106,1301,660,2,3,7,4,4,2
Intibucá,Masaguara,1069,4013,1242,21,18,14,19,15,6
Intibucá,San Antonio,59,1568,1715,0,0,2,0,1,1
Intibucá,San Francisco de Opalaca,705,1894,1640,10,25,18,7,12,4
Intibucá,San Isidro,244,1238,535,0,6,4,4,1,3
Intibucá,San Juan,2047,3396,1627,5,10,18,14,2,2
Intibucá,San Marcos de la Sierra,476,2000,1014,14,9,4,13,11,10
Intibucá,San Miguelito,1373,1876,344,3,0,5,13,7,2
Intibucá,Santa Lucía,77,1509,783,4,1,1,2,3,2
Intibucá,Yamaranguila,1949,5195,1412,22,17,5,38,8,7
Islas de la Bahía,Guanaja,815,1138,722,4,3,1,5,0,0
Islas de la Bahía,José Santos Guardiola,1348,1372,1360,4,3,10,9,2,3
Islas de la Bahía,Roatán,2427,4387,6245,14,14,49,26,7,5
Islas de la Bahía,Utila,451,955,676,2,2,9,7,2,1
La Paz,Aguaqueterique,640,1712,638,5,1,5,6,4,0
La Paz,Cabañas,191,1165,318,0,1,3,6,2,3
La Paz,Cane,655,573,989,4,3,1,4,0,1
La Paz,Chinacla,884,1800,668,7,2,6,7,4,2
La Paz,Guajiquiro,1956,3534,408,3,1,12,10,3,0
La Paz,La Paz,3274,6600,8141,14,12,17,27,6,8
La Paz,Lauterique,921,602,357,0,1,0,2,0,0
La Paz,Marcala,2254,5961,3799,12,12,16,27,15,7
La Paz,Mercedes de Oriente,249,421,93,5,2,5,1,0,0
La Paz,Opatoro,1131,2057,709,6,3,4,6,3,2
La Paz,San Antonio del Norte,210,872,305,2,0,2,1,3,2
La Paz,San José,1183,2018,1098,3,1,11,5,4,8
La Paz,San Juan,388,464,277,8,1,1,4,2,0
La Paz,San Pedro de Tutule,624,1891,913,2,7,5,1,3,2
La Paz,Santa Ana,1638,2710,444,9,12,8,4,7,3
La Paz,Santa Elena,1031,3145,746,10,7,25,15,8,3
La Paz,Santa María,1561,2699,699,6,68,3,4,4,7
La Paz,Santiago de Puringla,2723,4604,1066,9,3,5,11,4,2
La Paz,Yarula,845,2714,250,5,3,11,7,7,0
Lempira,Belen,903,2235,893,4,3,12,10,5,4
Lempira,Candelaria,36,1853,1886,0,12,6,2,3,2
Lempira,Cololaca,151,2303,757,2,6,10,9,1,2
Lempira,Erandique,839,4340,2988,12,3,1,12,6,11
Lempira,Gracias,1887,13367,4992,13,25,31,22,21,6
Lempira,Gualcince,415,2887,966,12,11,7,20,10,5
Lempira,Guarita,753,2092,912,6,2,1,9,6,2
Lempira,La Campa,857,2226,534,4,2,1,6,1,2
Lempira,La Iguala,1459,6169,2514,18,32,11,24,17,10
Lempira,La Unión,372,3767,2910,3,10,3,2,12,6
Lempira,La Virtud,32,2251,1625,1,2,2,2,0,3
Lempira,Las Flores,243,2714,1895,2,5,1,3,7,3
Lempira,Lepaera,420,9552,6145,10,33,9,22,14,11
