Departamento,Municipio,Liberal,Nacional,Libre-PINU,Democrata Cristiano,UD,PAC,Alianza Patriotica,Frente Amplio,VAMOS
Francisco Morazan,LA LIBERTAD,387,1050,1021,4,4,2,6,4,3
Francisco Morazan,LA VENTA,703,1792,744,6,9,8,1,3,0
Francisco Morazan,LEPATERIQUE,2944,4201,751,14,12,6,26,16,8
Francisco Morazan,MARAITA,870,1960,971,5,3,18,7,9,0
Francisco Morazan,MARALE,312,1763,1469,16,17,0,13,9,10
Francisco Morazan,NUEVA ARMENIA,615,993,1202,57,4,3,5,24,5
Francisco Morazan,OJOJONA,1953,3092,1397,15,6,9,6,5,3
Francisco Morazan,ORICA,324,3090,3285,10,13,7,4,2,10
Francisco Morazan,REITOCA,2248,2553,699,4,2,2,4,4,1
Francisco Morazan,SABANAGRANDE,2106,4067,2788,13,9,6,13,2,8
Francisco Morazan,SAN ANTONIO DE ORIENTE,1475,3079,1791,17,12,28,8,6,3
Francisco Morazan,SAN BUENAVENTURA,1509,882,355,6,2,5,4,1,2
Francisco Morazan,SAN IGNACIO,1319,2343,1762,4,8,7,3,0,2
Francisco Morazan,CANTARRANAS,2544,3737,1381,10,7,3,9,8,3
Francisco Morazan,SAN MIGUELITO,565,828,413,3,3,0,1,3,2
Francisco Morazan,SANTA ANA,2581,2237,2546,15,19,28,33,38,17
Francisco Morazan,SANTA LUCIA,1433,2873,1477,14,7,17,18,26,4
Francisco Morazan,TALANGA,2387,6477,5844,28,19,60,21,17,10
Francisco Morazan,TATUMBLA,988,2427,768,3,2,10,4,3,4
Francisco Morazan,VALLE DE ANGELES,1559,4885,2349,15,16,12,23,7,9
Francisco Morazan,VILLA SAN FRANCISCO,1369,2140,2331,16,6,11,11,4,3
Francisco Morazan,VALLECILLOS,1079,1707,974,20,11,6,9,4,4
Gracias a Dios,PUERTO LEMPIRA,1345,4575,4152,33,32,147,53,42,172
Gracias a Dios,BRUS LAGUNA,823,1625,793,10,11,21,10,7,35
Gracias a Dios,AHUAS,188,1713,534,6,7,5,12,8,11
Gracias a Dios,JUAN FRANCISCO BULNES,106,807,778,3,2,3,5,4,3
Gracias a Dios,VILLEDA MORALES,336,1274,1704,3,9,8,17,6,8
Gracias a Dios,WAMPUSIRPI,676,1050,412,2,5,8,5,7,8
Intibuca,LA ESPERANZA,1260,3218,1932,11,6,5,15,3,2
Intibuca,CAMASCA,137,2042,1520,11,8,2,3,1,0
Intibuca,COLOMONCAGUA,250,3368,3460,7,16,3,13,10,8
Intibuca,CONCEPCION,310,2526,1783,8,8,6,7,7,5
Intibuca,DOLORES,792,1448,314,5,1,8,5,6,3
Intibuca,INTIBUCA,5032,11280,4614,25,22,31,109,14,60
Intibuca,JESUS DE OTORO,1425,6484,3977,14,21,4,19,9,6
Intibuca,MAGDALENA,106,1301,660,2,3,7,4,4,2
Intibuca,MASAGUARA,1069,4013,1242,21,18,14,19,15,6
Intibuca,SAN ANTONIO,59,1568,1715,0,0,2,0,1,1
Intibuca,SAN ISIDRO,244,1238,535,0,6,4,4,1,3
Intibuca,SAN JUAN,2047,3396,1627,5,10,18,14,2,2
Intibuca,SAN MARCOS SIERRA,476,2000,1014,14,9,4,13,11,10
Intibuca,SAN MIGUELITO,1373,1876,344,3,0,5,13,7,2
Intibuca,SANTA LUCIA,77,1509,783,4,1,1,2,3,2
Intibuca,YAMARANGUILA,1949,5195,1412,22,17,5,38,8,7
Intibuca,SAN FRANCISCO DE OPALACA,705,1894,1640,10,25,18,7,12,4
Islas de la Bahia,ROATAN,2427,4387,6245,14,14,49,26,7,5
Islas de la Bahia,GUANAJA,815,1138,722,4,3,1,5,0,0
Islas de la Bahia,JOSE SANTOS GUARDIOLA,1348,1372,1360,4,3,10,9,2,3
Islas de la Bahia,UTILA,451,955,676,2,2,9,7,2,1
La Paz,LA PAZ,3274,6600,8141,14,12,17,27,6,8
La Paz,AGUANQUETERIQUE,640,1712,638,5,1,5,6,4,0
La Paz,CABAÑAS,191,1165,318,0,1,3,6,2,3
La Paz,CANE,655,573,989,4,3,1,4,0,1
La Paz,CHINACLA,884,1800,668,7,2,6,7,4,2
La Paz,GUAJIQUIRO,1956,3534,408,3,1,12,10,3,0
La Paz,LAUTERIQUE,921,602,357,0,1,0,2,0,0
La Paz,MARCALA,2254,5961,3799,12,12,16,27,15,7
La Paz,MERCEDES DE ORIENTE,249,421,93,5,2,5,1,0,0
La Paz,OPATORO,1131,2057,709,6,3,4,6,3,2
La Paz,SAN ANTONIO DEL NORTE,210,872,305,2,0,2,1,3,2
